ano,genero,cargo_grupo,n,pct_do_genero
2023,Feminino,Análise de Dados,73,23.8
2023,Feminino,Ciência de Dados,54,17.6
2023,Feminino,Engenharia/Arquitetura de Dados,41,13.4
2023,Feminino,Outros,33,10.7
2023,Feminino,Análise de Negócios,32,10.4
2023,Feminino,Business Intelligence,22,7.2
2023,Feminino,Produto (DPM/PM),21,6.8
2023,Feminino,Analytics Engineer,12,3.9
2023,Feminino,Eng. de Software,10,3.3
2023,Feminino,DBA,3,1.0
2023,Feminino,ML/AI Engineer,3,1.0
2023,Feminino,Professor/Pesquisador,2,0.7
2023,Feminino,Estatística/Economia,1,0.3
2023,Masculino,Engenharia/Arquitetura de Dados,284,25.7
2023,Masculino,Ciência de Dados,215,19.4
2023,Masculino,Análise de Dados,195,17.6
2023,Masculino,Business Intelligence,108,9.8
2023,Masculino,Outros,69,6.2
2023,Masculino,Analytics Engineer,57,5.2
2023,Masculino,Análise de Negócios,51,4.6
2023,Masculino,Eng. de Software,41,3.7
2023,Masculino,Produto (DPM/PM),34,3.1
2023,Masculino,ML/AI Engineer,25,2.3
2023,Masculino,Professor/Pesquisador,11,1.0
2023,Masculino,DBA,10,0.9
2023,Masculino,Estatística/Economia,6,0.5
2024,Feminino,Análise de Dados,87,26.0
2024,Feminino,Ciência de Dados,69,20.6
2024,Feminino,Analytics Engineer,31,9.3
2024,Feminino,Engenharia/Arquitetura de Dados,31,9.3
2024,Feminino,Análise de Negócios,28,8.4
2024,Feminino,Produto (DPM/PM),25,7.5
2024,Feminino,Outros,25,7.5
2024,Feminino,Business Intelligence,24,7.2
2024,Feminino,ML/AI Engineer,9,2.7
2024,Feminino,Eng. de Software,4,1.2
2024,Feminino,Professor/Pesquisador,1,0.3
2024,Feminino,Estatística/Economia,1,0.3
2024,Masculino,Engenharia/Arquitetura de Dados,315,25.6
2024,Masculino,Ciência de Dados,266,21.6
2024,Masculino,Análise de Dados,234,19.0
2024,Masculino,Analytics Engineer,83,6.8
2024,Masculino,Business Intelligence,78,6.3
2024,Masculino,Outros,63,5.1
2024,Masculino,Análise de Negócios,53,4.3
2024,Masculino,ML/AI Engineer,49,4.0
2024,Masculino,Eng. de Software,40,3.3
2024,Masculino,Produto (DPM/PM),36,2.9
2024,Masculino,Professor/Pesquisador,8,0.7
2024,Masculino,Estatística/Economia,4,0.3
2025,Feminino,Análise de Dados,42,23.6
2025,Feminino,Ciência de Dados,31,17.4
2025,Feminino,Engenharia/Arquitetura de Dados,25,14.0
2025,Feminino,Outros,15,8.4
2025,Feminino,Business Intelligence,15,8.4
2025,Feminino,Analytics Engineer,13,7.3
2025,Feminino,Análise de Negócios,11,6.2
2025,Feminino,Produto (DPM/PM),8,4.5
2025,Feminino,Eng. de Software,7,3.9
2025,Feminino,ML/AI Engineer,7,3.9
2025,Feminino,Professor/Pesquisador,3,1.7
2025,Feminino,Estatística/Economia,1,0.6
2025,Masculino,Engenharia/Arquitetura de Dados,167,24.7
2025,Masculino,Análise de Dados,142,21.0
2025,Masculino,Ciência de Dados,115,17.0
2025,Masculino,Analytics Engineer,46,6.8
2025,Masculino,Outros,45,6.7
2025,Masculino,Business Intelligence,42,6.2
2025,Masculino,Análise de Negócios,36,5.3
2025,Masculino,Eng. de Software,34,5.0
2025,Masculino,ML/AI Engineer,34,5.0
2025,Masculino,Produto (DPM/PM),11,1.6
2025,Masculino,Professor/Pesquisador,3,0.4
